feature,importance
LS8_z,0.19916348217355273
LS8_g,0.1358074270186824
LS8_r,0.13265196403562032
log_FLUX,0.11346311615150706
W1,0.10447108027341512
W2,0.09227334009095133
W3,0.08215556135016379
W4,0.07310550953521894
classification_flag,0.06690851937088835
